dataset,count,seed,algorithm,elapsed_seconds,sorted_correctly,total_length
random,1000000,1,burstsort,0.298421,True,13994805
prefix_heavy,1000000,1,burstsort,0.441999,True,12802469
wiki_random,1000000,1,burstsort,0.32497,True,20954305
wiki_heavy,1000000,1,burstsort,0.367898,True,30726807
random,1000000,1,c_burstsort,0.342078,True,13994805
prefix_heavy,1000000,1,c_burstsort,0.341449,True,12802469
wiki_random,1000000,1,c_burstsort,0.311729,True,20954305
wiki_heavy,1000000,1,c_burstsort,0.359839,True,30726807
random,1000000,1,msd_radix_sort,0.270935,True,13994805
prefix_heavy,1000000,1,msd_radix_sort,0.338298,True,12802469
wiki_random,1000000,1,msd_radix_sort,0.515127,True,20954305
wiki_heavy,1000000,1,msd_radix_sort,0.766171,True,30726807
random,1000000,1,lazy_funnelsort,0.743323,True,13994805
prefix_heavy,1000000,1,lazy_funnelsort,0.680466,True,12802469
wiki_random,1000000,1,lazy_funnelsort,0.714831,True,20954305
wiki_heavy,1000000,1,lazy_funnelsort,0.517801,True,30726807
random,1000000,2,std::sort,0.467209,True,13998549
prefix_heavy,1000000,2,std::sort,0.404991,True,12798787
wiki_random,1000000,2,std::sort,0.479815,True,20946194
wiki_heavy,1000000,2,std::sort,0.529427,True,30726807
random,1000000,2,multikey_quicksort,0.488018,True,13998549
prefix_heavy,1000000,2,multikey_quicksort,0.623987,True,12798787
wiki_random,1000000,2,multikey_quicksort,0.348942,True,20946194
wiki_heavy,1000000,2,multikey_quicksort,0.318094,True,30726807
random,1000000,2,burstsort,0.298418,True,13998549
prefix_heavy,1000000,2,burstsort,0.399631,True,12798787
wiki_random,1000000,2,burstsort,0.323041,True,20946194
wiki_heavy,1000000,2,burstsort,0.324451,True,30726807
random,1000000,2,c_burstsort,0.315375,True,13998549
prefix_heavy,1000000,2,c_burstsort,0.393481,True,12798787
wiki_random,1000000,2,c_burstsort,0.313794,True,20946194
wiki_heavy,1000000,2,c_burstsort,0.323603,True,30726807
random,1000000,2,msd_radix_sort,0.236591,True,13998549
prefix_heavy,1000000,2,msd_radix_sort,0.253066,True,12798787
wiki_random,1000000,2,msd_radix_sort,0.512228,True,20946194
wiki_heavy,1000000,2,msd_radix_sort,0.818964,True,30726807
random,1000000,2,lazy_funnelsort,0.668051,True,13998549
prefix_heavy,1000000,2,lazy_funnelsort,0.720719,True,12798787
wiki_random,1000000,2,lazy_funnelsort,0.732241,True,20946194
wiki_heavy,1000000,2,lazy_funnelsort,0.461658,True,30726807
random,5000000,0,std::sort,2.63713,True,69985439
prefix_heavy,5000000,0,std::sort,2.42762,True,63993606
wiki_random,5000000,0,std::sort,2.80451,True,104768585
wiki_heavy,5000000,0,std::sort,1.25938,True,68524673
random,5000000,0,multikey_quicksort,2.63225,True,69985439
prefix_heavy,5000000,0,multikey_quicksort,2.90708,True,63993606
wiki_random,5000000,0,multikey_quicksort,2.58861,True,104768585
wiki_heavy,5000000,0,multikey_quicksort,0.724499,True,68524673
random,5000000,0,burstsort,2.50545,True,69985439
prefix_heavy,5000000,0,burstsort,2.63036,True,63993606
wiki_random,5000000,0,burstsort,2.12754,True,104768585
wiki_heavy,5000000,0,burstsort,0.870505,True,68524673
random,5000000,0,c_burstsort,2.23316,True,69985439
prefix_heavy,5000000,0,c_burstsort,1.96684,True,63993606
wiki_random,5000000,0,c_burstsort,2.06091,True,104768585
wiki_heavy,5000000,0,c_burstsort,0.975524,True,68524673
random,5000000,0,msd_radix_sort,1.58797,True,69985439
prefix_heavy,5000000,0,msd_radix_sort,1.74032,True,63993606
wiki_random,5000000,0,msd_radix_sort,3.5788,True,104768585
wiki_heavy,5000000,0,msd_radix_sort,2.42064,True,68524673
random,5000000,0,lazy_funnelsort,4.24255,True,69985439
prefix_heavy,5000000,0,lazy_funnelsort,3.73823,True,63993606
wiki_random,5000000,0,lazy_funnelsort,4.07631,True,104768585
wiki_heavy,5000000,0,lazy_funnelsort,1.21575,True,68524673
random,5000000,1,std::sort,2.5371,True,69991100
prefix_heavy,5000000,1,std::sort,2.3705,True,63997560
wiki_random,5000000,1,std::sort,2.78927,True,104768585
wiki_heavy,5000000,1,std::sort,1.19492,True,68524673
random,5000000,1,multikey_quicksort,2.85006,True,69991100
prefix_heavy,5000000,1,multikey_quicksort,2.8554,True,63997560
wiki_random,5000000,1,multikey_quicksort,2.45415,True,104768585
wiki_heavy,5000000,1,multikey_quicksort,0.836329,True,68524673
random,5000000,1,burstsort,2.11159,True,69991100
prefix_heavy,5000000,1,burstsort,2.43699,True,63997560
wiki_random,5000000,1,burstsort,2.15587,True,104768585
wiki_heavy,5000000,1,burstsort,0.850165,True,68524673
random,5000000,1,c_burstsort,1.93449,True,69991100
prefix_heavy,5000000,1,c_burstsort,1.95605,True,63997560
wiki_random,5000000,1,c_burstsort,2.01326,True,104768585
wiki_heavy,5000000,1,c_burstsort,0.723489,True,68524673
random,5000000,1,msd_radix_sort,1.32352,True,69991100
prefix_heavy,5000000,1,msd_radix_sort,1.6124,True,63997560
wiki_random,5000000,1,msd_radix_sort,3.79592,True,104768585
wiki_heavy,5000000,1,msd_radix_sort,2.09907,True,68524673
random,5000000,1,lazy_funnelsort,4.0516,True,69991100
prefix_heavy,5000000,1,lazy_funnelsort,3.87963,True,63997560
wiki_random,5000000,1,lazy_funnelsort,3.91658,True,104768585
wiki_heavy,5000000,1,lazy_funnelsort,1.55269,True,68524673
random,5000000,2,std::sort,2.55401,True,70007838
prefix_heavy,5000000,2,std::sort,2.55811,True,64014992
wiki_random,5000000,2,std::sort,2.85206,True,104768585
wiki_heavy,5000000,2,std::sort,1.04791,True,68524673
random,5000000,2,multikey_quicksort,2.92539,True,70007838
prefix_heavy,5000000,2,multikey_quicksort,2.76987,True,64014992
wiki_random,5000000,2,multikey_quicksort,2.49239,True,104768585
wiki_heavy,5000000,2,multikey_quicksort,0.831015,True,68524673
random,5000000,2,burstsort,2.29291,True,70007838
prefix_heavy,5000000,2,burstsort,2.35995,True,64014992
wiki_random,5000000,2,burstsort,2.04509,True,104768585
wiki_heavy,5000000,2,burstsort,0.767364,True,68524673
random,5000000,2,c_burstsort,2.14651,True,70007838
prefix_heavy,5000000,2,c_burstsort,1.78635,True,64014992
wiki_random,5000000,2,c_burstsort,2.02405,True,104768585
wiki_heavy,5000000,2,c_burstsort,0.794588,True,68524673
random,5000000,2,msd_radix_sort,1.45749,True,70007838
prefix_heavy,5000000,2,msd_radix_sort,1.63792,True,64014992
wiki_random,5000000,2,msd_radix_sort,3.65965,True,104768585
wiki_heavy,5000000,2,msd_radix_sort,2.13019,True,68524673
random,5000000,2,lazy_funnelsort,4.37099,True,70007838
prefix_heavy,5000000,2,lazy_funnelsort,3.81764,True,64014992
wiki_random,5000000,2,lazy_funnelsort,4.18455,True,104768585
wiki_heavy,5000000,2,lazy_funnelsort,1.34287,True,68524673
